channel_number,cycle_number,marker_name,Filter,excitation_wavelength,emission_wavelength
1,1,DNA_1,DAPI,395,431
2,1,AF488,FITC,485,525
3,1,AF555,Sytox,555,590
4,1,AF647,Cy5,640,690
5,2,DNA_2,DAPI,395,431
6,2,A488_background,FITC,485,525
7,2,A555_background,Sytox,555,590
8,2,A647_background,Cy5,640,690
9,3,DNA_3,DAPI,395,431
10,3,FDX1,FITC,485,525
11,3,CD357,Sytox,555,590
12,3,CD1D,Cy5,640,690
13,4,DNA_4,DAPI,395,431
14,4,CD163,FITC,485,525
15,4,CD3D,Sytox,555,590
16,4,CD31,Cy5,640,690
17,5,DNA_5,DAPI,395,431
18,5,LDH,FITC,485,525
19,5,CD66B,Sytox,555,590
20,5,VDAC1,Cy5,640,690
21,6,DNA_6,DAPI,395,431
22,6,ELANE,FITC,485,525
23,6,CD57,Sytox,555,590
24,6,CD45,Cy5,640,690
25,7,DNA_7,DAPI,395,431
26,7,CD11B,FITC,485,525
27,7,SMA,Sytox,555,590
28,7,CD16,Cy5,640,690
29,8,DNA_8,DAPI,395,431
30,8,ECAD,FITC,485,525
31,8,FOXP3,Sytox,555,590
32,8,NCAM,Cy5,640,690
33,9,DNA_9,DAPI,395,431
34,9,CD4,FITC,485,525
35,9,KERATIN,Sytox,555,590
36,9,CD14,Cy5,640,690
37,10,DNA_10,DAPI,395,431
38,10,IBA1,FITC,485,525
39,10,CD1B,Sytox,555,590
40,10,CD8A,Cy5,640,690
